分析項目,93年國中學生完訪樣本數(人),93年國中學生吸菸率(%),93年國中男性學生完訪樣本數(人),93年國中男性學生吸菸率(%),93年國中女性學生完訪樣本數(人),93年國中女性學生吸菸率(%),95年國中學生完訪樣本數(人),95年國中學生吸菸率(%),95年國中男性學生完訪樣本數(人),95年國中男性學生吸菸率(%),95年國中女性學生完訪樣本數(人),95年國中女性學生吸菸率(%),97年國中學生完訪樣本數(人),97年國中學生吸菸率(%),97年國中男性學生完訪樣本數(人),97年國中男性學生吸菸率(%),97年國中女性學生完訪樣本數(人),97年國中女性學生吸菸率(%),99年國中學生完訪樣本數(人),99年國中學生吸菸率(%),99年國中男性學生完訪樣本數(人),99年國中男性學生吸菸率(%),99年國中女性學生完訪樣本數(人),99年國中女性學生吸菸率(%),100年國中學生完訪樣本數(人),100年國中學生吸菸率(%),100年國中男性學生完訪樣本數(人),100年國中男性學生吸菸率(%),100年國中女性學生完訪樣本數(人),100年國中女性學生吸菸率(%),101年國中學生完訪樣本數(人),101年國中學生吸菸率(%),101年國中男性學生完訪樣本數(人),101年國中男性學生吸菸率(%),101年國中女性學生完訪樣本數(人),101年國中女性學生吸菸率(%),102年國中學生完訪樣本數(人),102年國中學生吸菸率(%),102年國中男性學生完訪樣本數(人),102年國中男性學生吸菸率(%),102年國中女性學生完訪樣本數(人),102年國中女性學生吸菸率(%),103年國中學生完訪樣本數(人),103年國中學生吸菸率(%),103年國中男性學生完訪樣本數(人),103年國中男性學生吸菸率(%),103年國中女性學生完訪樣本數(人),103年國中女性學生吸菸率(%),104年國中學生完訪樣本數(人),104年國中學生吸菸率(%),104年國中男性學生完訪樣本數(人),104年國中男性學生吸菸率(%),104年國中女性學生完訪樣本數(人),104年國中女性學生吸菸率(%),105年國中學生完訪樣本數(人),105年國中學生吸菸率(%),105年國中男性學生完訪樣本數(人),105年國中男性學生吸菸率(%),105年國中女性學生完訪樣本數(人),105年國中女性學生吸菸率(%)
整體,22339,6.6004,11334,8.5369,10700,4.208,22393,7.494,11432,9.6801,10675,4.6619,21678,7.793,11118,10.3252,10274,4.8635,21282,7.955,10724,11.1635,10262,4.2052,13408,7.3369,6786,10.4696,6545,3.6825,12987,6.7342,6574,9.3072,6312,3.6808,13559,5.1517,6787,7.515,6762,2.5992,21753,5.0196,11134,6.419,10586,3.4607,21735,3.5157,11018,4.9253,10701,1.9923,20453,3.692,10385,5.1304,10036,2.0875
年級別=一年級,7485,3.6612,3853,4.0334,3525,2.907,7452,5.3439,3806,6.8685,3559,3.244,7522,5.6452,3856,7.5212,3563,3.2973,7526,6.2457,3784,9.024,3639,3.243,4433,5.403,2226,7.5273,2183,2.8641,4225,4.4792,2176,6.071,2012,2.6824,4745,3.0072,2411,4.1102,2330,1.8089,7403,3.4467,3776,4.1321,3616,2.6647,6799,1.8838,3423,2.1069,3370,1.6472,6635,1.7121,3427,2.2843,3199,0.9362
年級別=二年級,7411,6.8429,3701,9.0622,3619,4.0889,7415,7.9194,3727,9.8129,3591,5.2158,7567,8.4714,3860,11.1663,3621,5.558,7256,8.499,3637,11.2364,3522,5.1744,4624,7.6982,2338,10.0654,2255,4.9144,4275,7.8445,2118,10.6838,2118,4.2151,4476,5.713,2203,7.8991,2269,3.3293,7182,5.5798,3657,7.526,3512,3.3912,7145,3.5317,3661,4.7254,3479,2.2457,6607,3.8869,3287,5.455,3306,2.2183
年級別=三年級,7443,9.3212,3780,12.5981,3556,5.627,7526,9.2386,3899,12.3585,3525,5.5528,6589,9.2477,3402,12.2669,3090,5.7258,6500,9.128,3303,13.2309,3101,4.2029,4351,8.8868,2222,13.7869,2107,3.2604,4487,7.6826,2280,10.8809,2182,4.0629,4338,6.4863,2173,10.0974,2163,2.6103,7168,6.0517,3701,7.6559,3458,4.3122,7791,5.1551,3934,7.9941,3852,2.0773,7190,5.1775,3662,7.2198,3522,2.9449
平均每月零用錢=沒有任何零用錢,4670,2.6593,2349,3.5999,2259,1.3524,5627,3.1181,2877,3.7526,2686,2.3015,5965,3.1951,2956,4.4265,2928,1.7444,5768,3.1249,2716,4.4903,2960,1.589,3544,3.1748,1699,4.5548,1823,1.8646,3612,2.3047,1766,3.3473,1818,1.1984,2271,2.7563,1190,3.9486,1080,1.2676,3629,2.1598,1893,2.5819,1731,1.6019,3529,1.8876,1838,2.87,1689,0.7525,3115,2.1236,1569,2.939,1543,1.2241
平均每月零用錢=少於500元,10085,4.9686,4900,6.925,5071,2.8413,9575,6.0718,4692,8.7005,4780,3.2237,9119,7.1155,4588,9.9722,4429,4.0721,8249,7.0601,4059,10.1889,4090,3.5633,5040,5.6602,2435,8.3142,2580,2.745,4781,5.7098,2314,8.5819,2431,2.6032,5472,2.7738,2483,4.4908,2986,1.2057,8778,3.382,4156,4.4279,4615,2.3864,8322,1.9189,3896,2.5209,4425,1.3555,7468,1.6746,3440,2.5491,4019,0.8772
平均每月零用錢=500~1499元,4677,7.8491,2428,10.1857,2185,5.2507,4464,9.2975,2315,11.3782,2097,6.5626,4140,10.0676,2131,13.8395,1957,5.882,4512,8.6765,2363,12.0034,2089,4.71,2887,8.6917,1508,11.8993,1365,4.5559,2739,7.4171,1424,9.5798,1302,4.6764,3548,5.3468,1791,8.4354,1756,1.9694,5516,5.2452,2893,6.9949,2611,3.1586,5685,3.8647,2886,5.7407,2793,1.8262,5604,3.8187,2846,5.4582,2750,2.0376
平均每月零用錢=1500~2499元,1387,13.7267,754,14.9521,609,11.299,1321,12.6448,715,15.45,580,7.5396,1229,12.1594,685,12.5021,524,11.3402,1425,13.8575,770,17.9935,635,7.8523,976,14.1477,561,19.8967,408,6.4871,913,13.9033,506,17.8346,398,8.9178,1188,8.2498,661,10.7571,526,5.0932,1946,7.8828,1065,9.2275,878,6.2721,2063,6.2383,1135,8.4871,926,3.5035,2097,5.5814,1190,6.1978,903,4.2606
平均每月零用錢=2500~3499元,738,15.1599,436,15.4772,292,13.8582,723,18.9936,422,23.6619,286,10.5981,631,17.1809,378,19.737,242,13.3481,692,23.975,418,28.5165,259,15.1884,501,14.6813,290,17.5228,209,10.1764,492,15.2896,280,19.4014,207,9.1414,581,12.9386,348,15.361,232,9.5965,951,9.9388,560,13.1751,389,5.75,1091,7.4945,645,8.8988,445,5.3562,1063,8.3194,660,10.1736,402,5.4172
平均每月零用錢=3500~4499元,267,23.1993,155,28.3183,104,14.3986,204,19.6763,112,23.0714,87,13.3548,218,24.8352,137,26.7716,75,20.9602,219,24.7421,123,33.764,94,13.167,174,20.946,104,25.3867,68,13.6104,167,17.0022,94,23.4191,69,8.8084,170,21.4918,94,24.2408,75,18.3941,348,12.3458,209,9.7674,139,16.3497,374,6.1313,215,6.8252,159,5.2551,421,10.8094,259,11.9384,161,8.6385
